Date,Time,Home College,Away College,Location,Sport,Court
1/21,10:00 PM,MY,GH,Lanman Center,Choops,Court 1
1/21,10:00 PM,ES,DC,Lanman Center,Choops,Court 2
1/21,10:00 PM,MC,SM,Lanman Center,Choops,Court 3
1/22,9:00 PM,JE,TC,Lanman Center,Choops,Court 2
1/22,10:00 PM,SY,TD,Lanman Center,Choops,Court 1
1/22,10:00 PM,PC,BK,Lanman Center,Choops,Court 2
1/27,8:00 PM,PC,BR,Lanman Center,Choops,Court 1
1/27,8:00 PM,JE,SY,Lanman Center,Choops,Court 2
1/27,9:00 PM,TC,TD,Lanman Center,Choops,Court 1
1/27,9:00 PM,MC,BF,Lanman Center,Choops,Court 2
1/27,10:00 PM,MY,ES,Lanman Center,Choops,Court 1
1/27,10:00 PM,GH,DC,Lanman Center,Choops,Court 2
1/29,8:00 PM,TC,BK,Lanman Center,Choops,Court 1
1/29,8:00 PM,SY,BR,Lanman Center,Choops,Court 2
1/29,9:00 PM,JE,TD,Lanman Center,Choops,Court 1
1/30,8:00 PM,GH,SM,Lanman Center,Choops,
1/30,8:00 PM,ES,BF,Lanman Center,Choops,
1/30,8:00 PM,MY,DC,Lanman Center,Choops,
2/4,9:00 PM,JE,PC,Lanman Center,Choops,Court 1
2/4,9:00 PM,TC,BR,Lanman Center,Choops,Court 2
2/4,9:00 PM,SY,BK,Lanman Center,Choops,Court 3
2/4,10:00 PM,MY,MC,Lanman Center,Choops,Court 1
2/4,10:00 PM,GH,BF,Lanman Center,Choops,Court 2
2/4,10:00 PM,ES,SM,Lanman Center,Choops,Court 3
2/6,9:00 PM,DC,BF,Lanman Center,Choops,
2/6,9:00 PM,MY,SM,Lanman Center,Choops,
2/6,9:00 PM,GH,MC,Lanman Center,Choops,
2/6,10:00 PM,TD,BR,Lanman Center,Choops,
2/6,10:00 PM,JE,BK,Lanman Center,Choops,
2/6,10:00 PM,TC,PC,Lanman Center,Choops,
2/11,8:00 PM,SY,PC,Lanman Center,Choops,Court 1
2/11,8:00 PM,TD,BK,Lanman Center,Choops,Court 2
2/11,8:00 PM,JE,BR,Lanman Center,Choops,Court 3
2/12,9:00 PM,ES,MC,Lanman Center,Choops,Court 2
2/12,10:00 PM,DC,SM,Lanman Center,Choops,Court 1
2/12,10:00 PM,MY,BF,Lanman Center,Choops,Court 2
2/17,8:00 PM,TC,SY,Lanman Center,Choops,
2/17,8:00 PM,TD,PC,Lanman Center,Choops,
2/17,9:00 PM,BK,BR,Lanman Center,Choops,
2/17,9:00 PM,GH,ES,Lanman Center,Choops,
2/17,10:00 PM,DC,MC,Lanman Center,Choops,
2/17,10:00 PM,SM,BF,Lanman Center,Choops,