Home_Team,Home_Team_Score,Away_Team,Away_Team_Score,Winner,Forfeit?,Date,Time,Location
BK,2,ES,0,BK,No,9/10/2024,4:00 PM,Morse-Stiles Crescent
TD,0,BF,2,BF,No,9/10/2024,4:00 PM,Morse-Stiles Crescent
PC,0,BR,0,Draw,Yes,9/10/2024,5:15 PM,Morse-Stiles Crescent
DC,2,JE,0,DC,No,9/10/2024,4:00 PM,Morse-Stiles Crescent
GH,2,MY,1,GH,No,9/10/2024,5:15 PM,Morse-Stiles Crescent
SM,2,SY,1,SM,No,9/10/2024,5:15 PM,Morse-Stiles Crescent
PC,3,TC,0,PC,Yes,9/12/2024,4:00 PM,Morse-Stiles Crescent
MY,2,SM,0,MY,No,9/12/2024,4:00 PM,Morse-Stiles Crescent
SY,2,GH,0,SY,No,9/12/2024,4:00 PM,Morse-Stiles Crescent
BF,2,ES,0,BF,No,9/12/2024,5:15 PM,Morse-Stiles Crescent
BK,3,TD,0,BK,Yes,9/12/2024,5:15 PM,Morse-Stiles Crescent
MC,2,JE,0,MC,No,9/12/2024,5:15 PM,Morse-Stiles Crescent
MY,3,BR,0,MY,Yes,9/17/2024,4:00 PM,Morse-Stiles Crescent
SY,3,TC,0,SY,Yes,9/17/2024,4:00 PM,Morse-Stiles Crescent
GH,2,SM,0,GH,No,9/17/2024,4:00 PM,Morse-Stiles Crescent
BF,2,BK,0,BF,No,9/17/2024,5:15 PM,Morse-Stiles Crescent
MC,2,ES,0,MC,No,9/17/2024,5:15 PM,Morse-Stiles Crescent
DC,2,TD,1,DC,No,9/17/2024,5:15 PM,Morse-Stiles Crescent
ES,1,DC,2,DC,No,9/19/2024,4:00 PM,Morse-Stiles Crescent
MC,2,TD,1,MC,No,9/19/2024,4:00 PM,Morse-Stiles Crescent
MY,3,TC,0,MY,Yes,9/19/2024,5:15 PM,Morse-Stiles Crescent
SY,2,BR,1,SY,No,9/19/2024,5:15 PM,Morse-Stiles Crescent
PC,0,GH,3,GH,Yes,9/19/2024,5:15 PM,Morse-Stiles Crescent
BF,3,JE,0,BF,Yes,9/19/2024,4:00 PM,Morse-Stiles Crescent
BF,2,DC,1,BF,No,9/24/2024,4:00 PM,Morse-Stiles Crescent
TD,0,JE,0,Draw,Yes,9/24/2024,4:00 PM,Morse-Stiles Crescent
MC,2,BK,1,MC,No,9/24/2024,4:00 PM,Morse-Stiles Crescent
SM,2,TC,0,SM,Yes,9/24/2024,5:15 PM,Morse-Stiles Crescent
GH,2,BR,1,GH,No,9/24/2024,5:15 PM,Morse-Stiles Crescent
PC,0,MY,3,MY,Yes,9/24/2024,5:15 PM,Morse-Stiles Crescent
SY,2,PC,1,SY,No,9/26/2024,4:00 PM,Morse-Stiles Crescent
SM,2,BR,0,SM,No,9/26/2024,4:00 PM,Morse-Stiles Crescent
TC,0,GH,2,GH,No,9/26/2024,4:00 PM,Morse-Stiles Crescent
ES,2,JE,0,ES,Yes,9/26/2024,5:15 PM,Morse-Stiles Crescent
BF,2,MC,0,BF,No,9/26/2024,5:15 PM,Morse-Stiles Crescent
BK,0,DC,2,DC,No,9/26/2024,5:15 PM,Morse-Stiles Crescent
BK,2,JE,0,BK,No,10/1/2024,4:00 PM,Morse-Stiles Crescent
ES,3,TD,0,ES,Yes,10/1/2024,4:00 PM,Morse-Stiles Crescent
MC,2,DC,1,MC,No,10/1/2024,4:00 PM,Morse-Stiles Crescent
SY,2,MY,0,SY,No,10/1/2024,5:15 PM,Morse-Stiles Crescent
SM,3,PC,0,SM,Yes,10/1/2024,5:15 PM,Morse-Stiles Crescent
BR,0,TC,2,TC,No,10/1/2024,5:15 PM,Morse-Stiles Crescent
BF,3,,,BF,No,,,
SY,3,,,SY,No,,,
TD,2,DC,0,TD,No,10/22/2024,4:00 PM,Morse-Stiles Crescent
MC,2,JE,0,MC,No,10/22/2024,4:00 PM,Morse-Stiles Crescent
GH,2,BR,1,GH,No,10/22/2024,5:15 PM,Morse-Stiles Crescent
ES,2,BK,1,ES,No,10/22/2024,4:00 PM,Morse-Stiles Crescent
SM,2,PC,0,SM,No,10/22/2024,5:15 PM,Morse-Stiles Crescent
SY,2,SM,1,SY,No,10/24/2024,4:00 PM,Morse-Stiles Crescent
MY,2,GH,1,MY,No,10/24/2024,4:00 PM,Morse-Stiles Crescent
TD,2,BF,0,TD,No,10/24/2024,5:15 PM,Morse-Stiles Crescent
ES,1,MC,2,MC,No,10/24/2024,5:15 PM,Morse-Stiles Crescent
TD,2,MC,0,TD,No,10/29/2024,4:00 PM,Morse-Stiles Crescent
SY,2,MY,0,SY,No,10/29/2024,5:00 PM,Morse-Stiles Crescent
TD,2,SY,0,TD,No,10/31/2024,4:00 PM,Morse-Stiles Crescent